ticket_id,short_description,create_time,updated_time,creator_id,description
INC2048364,"box-error-failed to open files on box when using ipad","2025-04-10 15:07:04.000000","2025-04-10 15:10:09.000000",kmxp123,NULL
INC2048358,"Tencent Meeting-System Issue-入会白屏","2025-04-10 15:06:20.000000","2025-04-10 15:06:20.000000",kcpj788,NULL
SCTASK0925555,"Mobile Portal-医院准入-缺少机构和产品","2025-04-10 15:06:03.000000","2025-04-10 15:06:03.000000",kqmk961,"PRID: kqtg956

User Current Location/用户当前位置: 
User Contact Phone NO./用户联系电话:+86 18716057122
Problem Description:
1. 用户咨询医院准入缺少机构和产品，第一次使用，想要确认是不是没有权限
2. 辛苦同事查看一下
3.转单"
INC2048353,"Tencent Meeting-System issue-代理问题","2025-04-10 15:05:02.000000","2025-04-10 15:06:07.000000",kjwc657,"PRID:KFXD515
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:15652908424
Problem Description:腾讯会议VPN环境无法使用

 
#ID:01ES0K58J4BTBAEUJJAKF75AES000S77
 "
SCTASK0925545,e学荟服务号-解绑-非目标客户解绑,"2025-04-10 15:04:49.000000","2025-04-10 15:05:38.000000",kdxd911,"PRID：KGDZ136
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86    13902708283
Problem Description:
1   用户需要解绑非目标客户，需要后台协助
2.
3派单至相关团队
 ID： 01ES0K58J4BTBAEUJJAKF75AES000SGM"
SCTASK0925544,"Mobile Portal-私车公用审批-网址获取","2025-04-10 15:04:45.000000","2025-04-10 15:05:39.000000",kxvx387,"PRID：KGCT504
 User Current Location/用户当前位置:
 User Contact Phone NO./用户联系电话: +86       
Problem Description:网址获取
 Troubleshooting Steps:
 1.
 2.https://eapproval.astrazeneca.net/
 3.用户同意关单
  #ID：01ES0K58J4BTBAEUJJAKF75AES000SH5"
SCTASK0925542,"Ncep Speaker-Renew-无法续约讲者","2025-04-10 15:04:36.000000","2025-04-10 15:04:36.000000",kvsv536,"PRID:KGDN543
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86 15959205956

Problem Description:
1. fjxm005h0069t；无法续约讲者；用户被三方打回， 因为更新银行信息问题；
2. 用户无法再次编辑 ， 在dcr 中心 和审批中心都无法再次编辑辛苦帮助核实
3.转单相关团队处理"
INC2048351,【Teams】Teamsチャットにつきまして,"2025-04-10 15:04:26.000000","2025-04-10 15:09:47.000000",kfvt683,"Mail Received Time:2025-04-10 10:29 AM
Mail Replied Time:2025-04-10 11:16 AM

【詳細】
Teamsチャットが届いて時にパソコンに「ピコ」という音声と共に表示がでます。
出さなくする方法を教えてください

【対応】
恐れ入りますが、Teamsの上側の「…」をクリックして、左側の「通知とアクティビティ」をクリックします。
「通知についサウンドを再生する」と「着信通話、参加要求、会議開始通知で音を鳴らす」の項目をオフに変更して改善できるかご確認お願いいたします。
改善できない場合、PCからの通知音となりますので、同じ画面の下にある「チャットメッセージの通知」をオフに変更していただけますか。"
SCTASK0925536,"Ncep Event-Sign in-签到问题","2025-04-10 15:03:57.000000","2025-04-10 15:04:21.000000",kvbb326,"PRID:KHFN080
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:
Problem Description:
1.如何签到？
2.
3.

"
SCTASK0925535,"Ncep Speaker-Renew-如何续签讲者","2025-04-10 15:03:50.000000","2025-04-10 15:04:20.000000",kkwk546,"PRID：KNLR495
User Current Location/用户当前位置:
User Contact Phone NO./用户联系电话:+86 
Problem Description:用户咨询如何续签讲者
Troubleshooting Steps:
1.变更讲者简历提交申请
2.
3.用户确认同意关单
#ID：01ES0K58J4BTBAEUJJAKF75AES000SGP"
